,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
128,62887438.76516624,62914386.880339526,62913635.1433585,62894981.13902401,62940372.436353914,62920064.6086872,62923650.59396453,62909555.4114704,62887428.93820089,63068536.14158155
129,62887438.76516624,62914386.880339526,62913635.1433585,62894981.13902401,62940372.43635391,62920064.60868721,62923650.59396453,62909555.411470406,62887428.93820088,63068382.17339029
130,62887438.76516624,62914386.880339526,62913635.1433585,62894981.13902401,62940372.43635391,62920064.608687215,62923650.59396454,62909555.411470406,62887428.938200876,63068575.21257728
131,62887438.765166245,62914386.88033953,62913635.1433585,62894981.13902403,62940372.436353914,62920064.608687215,62923650.59396455,62909555.41147041,62887428.93820088,63068884.75116802
132,62887438.765166245,62914386.880339526,62913635.1433585,62894981.13902403,62940372.43635391,62920064.608687215,62923650.59396455,62909555.411470406,62887428.93820088,63069194.289758764
133,62887438.76516624,62914386.880339526,62913635.143358484,62894981.13902402,62940372.4363539,62920064.60868721,62923650.59396454,62909555.41147039,62887428.938200876,63069039.56608003
134,62887438.76516624,62914386.88033952,62913635.14335849,62894981.13902401,62940372.4363539,62920064.60868721,62923650.59396454,62909555.41147038,62887428.938200876,63068845.77230565
135,62887438.76516624,62914386.880339526,62913635.14335849,62894981.139024004,62940372.43635391,62920064.608687215,62923650.59396455,62909555.41147039,62887428.93820088,63068687.63263374
136,62887438.76516624,62914386.880339526,62913635.14335849,62894981.139024004,62940372.43635391,62920064.608687215,62923650.59396454,62909555.41147039,62887428.93820088,63068532.974522464
137,62887438.76516623,62914386.88033953,62913635.143358484,62894981.139024004,62940372.4363539,62920064.608687215,62923650.59396454,62909555.41147039,62887428.93820089,63068396.57789598
138,62887438.76516623,62914386.88033953,62913635.143358484,62894981.13902401,62940372.43635391,62920064.60868722,62923650.59396453,62909555.41147039,62887428.93820089,63068652.71031109
139,62887438.76516624,62914386.88033955,62913635.143358484,62894981.13902401,62940372.436353914,62920064.60868723,62923650.59396454,62909555.411470406,62887428.9382009,63068962.24890183
